DPWH Flood Control Projects — Metro Manila (BetterGov.ph),,,,,,,,,,,
"Source: bettergov.ph/flood-control-projects  |  248,000+ nationwide projects  |  1,058 NCR flood projects (Jul 2022–May 2025)  |  Total: ?52.48B  |  License: CC0 1.0",,,,,,,,,,,
Contract ID,Project Name,City / LGU,Barangay,Cost (PHP),Status,Fund Source,Completion Date,COC Status,Inspection Finding,Implementing Office,Notes
25OF0016,Construction of Flood Control Structure - La Mesa Ecopark Phase 2,Quezon City,La Mesa Ecopark,"48,513,518",On-Going,GAA 2025,,Approved,Verified on-going,DPWH-QC 1st DEO,One of only 2 projects with approved COC
25OF0017,"Construction of Flood Control Structure - Tullahan River, Nagkaisang Nayon",Quezon City,Nagkaisang Nayon,"48,480,365",On-Going,GAA 2025,,No Objection Letter,Verified on-going,DPWH-QC 1st DEO,
24OF0180,Construction of Matalahib Creek Pumping Station,Quezon City,Matalahib,"95,998,547",On-Going,GAA 2024,,Disapproved,Built directly on waterway — obstructs flow,DPWH-QC 1st DEO,COA flagged
24O00219,Construction of Mariblo Pumping Station Phase 1,Quezon City,Mariblo,"282,850,772",On-Going,GAA 2024,,Disapproved,Built directly on waterway — obstructs flow,DPWH-QC 1st DEO,?282M disapproved COC
24O00220,Construction of Sta. Cruz Pumping Station Phase 1,Quezon City,Sta. Cruz,"282,847,635",On-Going,GAA 2024,,Disapproved,Disapproved COC,DPWH-QC 1st DEO,
23GZ00058,Metro Manila Flood Mgmt Project Ph.1 - Doña Imelda Pumping Station,Quezon City,Doña Imelda,"568,903,699",On-Going,Foreign Funded,,None,Verified on-going,DPWH-UPMO,World Bank / AIIB co-financed
25OF0147,"Rehabilitation of Handel St to Liszt St, Commonwealth",Quezon City,Commonwealth,"97,019,806",On-Going,GAA 2025,,None,Verified on-going,DPWH-QC 1st DEO,
22OF0075,Rehabilitation of Flood Control Structure - Brgy. Gulod,Quezon City,Gulod,"73,477,621",Completed,GAA 2022,,None,Verified complete; debris on site,DPWH-QC 1st DEO,Construction debris = QC ordinance violation
24OF0069,Construction of Drainage Systems at Veterans - Brgy. Pasong Tamo,Quezon City,Pasong Tamo,"19,403,851",Completed,GAA 2024,,None,Verified complete,DPWH-QC 2nd DEO,
24OF0019,"Construction of Flood Control - Tullahan River, Bagong Tulay, Gulod",Quezon City,Gulod,"48,999,897",Completed,GAA 2024,2024-11-18,None,Declared complete; works still ongoing on inspection,DPWH-QC 1st DEO,Anomalous completion declaration
23OF0056,Construction of Flood Control - Pasong Tamo Creek,Quezon City,Pasong Tamo,"48,998,190",Completed,GAA 2023,2023-10-18,None,Declared complete; works still ongoing; built in front of existing wall,DPWH-QC 2nd DEO,Reduces waterway width
24OF0126,"Construction of Flood Control - Marikina River, Bagong Silangan",Quezon City,Bagong Silangan,"95,341,600",Completed,GAA 2024,2025-03-11,None,Declared complete; works still ongoing,DPWH-QC 1st DEO,
23OF0036,"Construction of Slope Protection - Marikina River, Bagong Silangan",Quezon City,Bagong Silangan,"42,762,228",Completed,GAA 2023,2024-03-31,None,Declared complete; works still ongoing,DPWH-QC 1st DEO,
23OF0025,"Construction of Flood Mitigation - Marikina River, Batasan Hills",Quezon City,Batasan Hills,"96,499,650",Completed,GAA 2023,2023-12-18,None,Declared complete; works still ongoing,DPWH-QC 1st DEO,
23OF0062,"Construction of Flood Mitigation - Marikina River, Bagong Silangan",Quezon City,Bagong Silangan,"96,499,630",Completed,GAA 2023,2023-12-19,None,Declared complete; works still ongoing,DPWH-QC 1st DEO,
23OF0053,Construction of Flood Control Structure - Brgy. New Era,Quezon City,New Era,"35,972,605",Completed,GAA 2023,,None,LOCATION ERROR — coordinates point to Brgy Apolonio Samson,DPWH-QC 1st DEO,Cannot be found on ground
22OF0060,Construction of Flood Control Structure - Brgy. Pasong Tamo,Quezon City,Pasong Tamo,"14,259,000",Completed,GAA 2022,,None,LOCATION ERROR — coordinates point to Brgy Culiat,DPWH-QC 2nd DEO,Cannot be found on ground
24OF0263,Construction of Flood Structure - Brgy. Bagong Silangan,Quezon City,Bagong Silangan,"143,287,903",On-Going,GAA 2024,,None,Slope protection built in front of existing wall,DPWH-QC 1st DEO,Reduces waterway width
24OF0141,Construction of Drainage Systems - Brgy. Apolonio Samson,Quezon City,Apolonio Samson,"77,199,937",Completed,GAA 2024,,None,Built in front of wall; debris on site,DPWH-QC 1st DEO,
23OF0022,"Construction of Flood Control - Culiat Creek, Project 6",Quezon City,Project 6,"48,022,320",Completed,GAA 2023,,None,Slope protection built in front of existing wall,DPWH-QC 2nd DEO,
24OF0134,"Construction of Flood Control - Tullahan River, Brgy. Bagbag",Quezon City,Bagbag,"95,505,768",Completed,GAA 2024,,None,Debris on site,DPWH-QC 1st DEO,
24OG0021,Rehabilitation of Marikina River Tributary Phase 2 - Acropolis,Quezon City,Acropolis,"48,999,387",Completed,GAA 2024,,None,Debris on site; retaining wall collapsed,DPWH-QC 1st DEO,Structural failure
