Quezon City DPWH Flood Projects — District & Budget Breakdown (2022–2025),,,,,,,,,
Source: QCG Dept of Engineering — Sept 2025 Audit Report  |  331 total projects  |  ?17 billion total,,,,,,,,,
BY DISTRICT,,,,,,,,,
District,Completed,Ongoing,Total Projects,Completed Cost (PHP),Ongoing Cost (PHP),Total Cost (PHP),% of Total,,
District 1,33,21,54,"900,000,000","1,370,000,000","2,270,000,000",15.2%,,
District 2,28,17,45,"1,410,000,000","1,450,000,000","2,860,000,000",19.2%,,
District 3,24,10,34,"600,000,000","530,000,000","1,130,000,000",7.6%,,
District 4,45,27,72,"1,650,000,000","2,010,000,000","3,660,000,000",24.5%,,
District 5,36,24,60,"1,810,000,000","1,600,000,000","3,410,000,000",22.9%,,
District 6,34,28,62,"790,000,000","800,000,000","1,590,000,000",10.7%,,
TOTAL,200,127,327,"7,160,000,000","7,760,000,000","14,920,000,000",100.0%,,
,,,,,,,,,
BY FUND SOURCE,,,,,,,,,
Fund Source,No. of Projects,Contract Cost (PHP),% of Total,,,,,,
GAA 2022,65,"2,140,000,000",12.7%,,,,,,
GAA 2023,63,"2,110,000,000",12.5%,,,,,,
GAA 2024,113,"5,990,000,000",35.4%,,,,,,
GAA 2025,86,"4,670,000,000",27.6%,,,,,,
Foreign Funded,4,"2,000,000,000",11.8%,,,,,,
,,,,,,,,,
TOTAL,331,"16,910,000,000",100.0%,,,,,,
,,,,,,,,,
COC (CERTIFICATE OF COORDINATION) STATUS,,,,,,,,,
COC Status,2022,2023,2024,2025,Total Projects,Contract Cost (PHP),,,
Approved COC,0,0,0,1,1,"50,000,000",,,
No Objection Letter,0,0,0,1,1,"50,000,000",,,
Disapproved COC,0,0,1,3,4,"670,000,000",,,
Incomplete Application,0,0,10,3,13,"1,120,000,000",,,
No COC Application,65,52,111,84,312,"14,980,000,000",,,
,,,,,,,,,
TOTAL (331 projects),65,52,122,92,331,"17,000,000,000",,,
,,,,,,,,,
"?  Only 2 of 331 projects (0.6%) have an approved COC — Source: QCG Infrastructure Committee (Infracomm), Sept 2025",,,,,,,,,
